product_id,product_name,category,shelf_life_days,unit_cost,price
1,Milk 1L,Dairy,7,101.48,131.0
2,Curd 400g,Dairy,6,105.65,132.78
3,Paneer 200g,Dairy,4,73.23,106.47
4,Butter 100g,Dairy,2,138.39,219.74
5,Cheese Slices,Dairy,2,59.71,93.75
6,Bananas 1kg,Fruits & Vegetables,3,93.02,124.09
7,Tomatoes 1kg,Fruits & Vegetables,2,35.34,42.95
8,Onions 1kg,Fruits & Vegetables,3,142.49,207.24
9,Apples 1kg,Fruits & Vegetables,2,198.6,240.16
10,Spinach 250g,Fruits & Vegetables,2,192.49,238.24
11,Bread Loaf,Bakery,2,78.53,122.03
12,Croissant,Bakery,4,183.14,263.47
13,Bun Pack,Bakery,2,142.03,209.33
14,Cake Slice,Bakery,3,153.86,222.82
15,Chips 100g,Snacks,365,49.8,75.65
16,Biscuits Pack,Snacks,241,182.54,227.2
17,Namkeen 200g,Snacks,250,136.51,195.27
18,Chocolate Bar,Snacks,271,198.85,251.89
19,Cola 750ml,Beverages,247,49.16,68.05
20,Juice 1L,Beverages,352,42.56,58.46
21,Energy Drink,Beverages,350,85.36,108.69
22,Mineral Water 1L,Beverages,314,78.63,116.12
23,Shampoo 200ml,Personal Care,463,82.24,106.04
24,Soap Bar,Personal Care,543,117.49,172.8
25,Toothpaste,Personal Care,497,69.12,109.34
26,Face Wash,Personal Care,385,131.91,181.05
27,Detergent 1kg,Household,685,162.66,248.79
28,Dish Soap,Household,413,29.95,38.72
29,Floor Cleaner,Household,520,29.5,43.25
30,Tissue Pack,Household,715,78.64,105.61
31,Frozen Peas,Frozen Foods,64,55.69,76.94
32,Ice Cream Tub,Frozen Foods,120,185.9,254.15
33,Frozen Paratha,Frozen Foods,113,49.5,76.13
34,Frozen Nuggets,Frozen Foods,92,99.29,128.98
