rider_id,store_id,join_date
1,1,2026-01-17
2,1,2026-03-06
3,1,2026-03-12
4,1,2026-06-26
5,1,2026-08-02
6,1,2025-12-22
7,1,2026-07-17
8,2,2025-03-31
9,2,2026-05-07
10,2,2026-03-16
11,2,2026-04-25
12,3,2025-10-19
13,3,2025-07-13
14,3,2025-02-09
15,3,2025-08-05
16,3,2025-11-22
17,3,2025-03-26
18,3,2026-05-12
19,3,2026-06-28
20,3,2024-08-27
21,3,2026-04-03
22,4,2026-04-01
23,4,2026-07-14
24,4,2026-05-22
25,4,2026-05-06
26,4,2026-04-23
27,5,2025-07-02
28,5,2025-08-18
29,5,2025-11-20
30,5,2025-05-22
31,5,2025-05-15
32,5,2025-12-24
33,5,2025-05-18
34,5,2025-12-07
35,5,2025-11-26
36,5,2026-06-15
37,6,2025-09-02
38,6,2025-03-14
39,6,2026-01-31
40,6,2026-04-01
41,7,2025-04-29
42,7,2025-11-13
43,7,2025-03-25
44,7,2026-03-27
45,7,2025-09-07
46,7,2026-05-26
47,7,2026-05-18
48,7,2025-10-30
49,7,2026-04-16
50,8,2025-04-17
51,8,2026-05-20
52,8,2025-01-12
53,8,2024-12-24
54,8,2026-04-16
55,8,2025-05-15
56,9,2026-07-26
57,9,2026-04-23
58,9,2026-03-13
59,9,2026-04-12
60,9,2026-03-17
61,9,2026-05-10
62,9,2026-04-20
63,9,2026-05-25
64,9,2026-06-29
65,9,2026-05-07
66,10,2025-02-24
67,10,2025-08-04
68,10,2025-07-23
69,10,2025-04-01
70,10,2026-03-25
71,10,2025-05-16
72,10,2026-04-19
73,11,2026-02-06
74,11,2026-03-17
75,11,2026-04-15
76,11,2026-03-14
77,11,2026-07-08
78,11,2026-06-06
79,12,2026-04-22
80,12,2026-07-03
81,12,2026-07-12
82,12,2026-06-17
83,12,2026-04-12
84,12,2026-07-11
85,12,2026-05-02
86,13,2026-07-25
87,13,2026-07-28
88,13,2025-10-21
89,13,2025-12-27
90,13,2025-10-12
91,13,2026-01-30
92,13,2026-03-04
93,13,2026-01-11
94,13,2025-10-25
95,14,2025-03-21
96,14,2025-12-23
97,14,2026-04-19
98,14,2025-06-10
99,14,2025-03-23
100,14,2026-03-02
101,14,2025-10-31
102,14,2025-08-12
103,14,2026-02-20
104,15,2026-05-01
105,15,2025-12-29
106,15,2026-02-14
107,15,2025-12-28
108,15,2026-02-07
109,15,2026-06-10
110,15,2026-06-01
111,15,2026-02-14
112,15,2026-06-19
113,15,2026-04-19
114,16,2026-05-02
115,16,2026-04-03
116,16,2025-12-13
117,16,2025-10-11
118,16,2026-07-26
119,16,2026-07-14
120,16,2025-09-04
121,16,2025-08-01
122,16,2025-09-19
123,16,2025-10-22
124,17,2025-12-27
125,17,2024-12-29
126,17,2026-05-04
127,17,2026-02-06
128,17,2025-07-20
129,17,2025-12-03
130,17,2024-10-15
131,17,2025-06-21
132,17,2025-06-19
133,18,2025-12-01
134,18,2025-08-24
135,18,2025-10-10
136,18,2025-03-09
137,18,2025-10-29
