flag_id,date,zone,hour,traffic_level,weather
1,2026-05-08,Koramangala,0,low,Cloudy
2,2026-05-08,Koramangala,1,low,Clear
3,2026-05-08,Koramangala,2,low,Clear
4,2026-05-08,Koramangala,3,low,Cloudy
5,2026-05-08,Koramangala,4,low,Clear
6,2026-05-08,Koramangala,5,low,Cloudy
7,2026-05-08,Koramangala,6,high,Clear
8,2026-05-08,Koramangala,7,low,Clear
9,2026-05-08,Koramangala,8,low,Clear
10,2026-05-08,Koramangala,9,medium,Clear
11,2026-05-08,Koramangala,10,medium,Clear
12,2026-05-08,Koramangala,11,low,Clear
13,2026-05-08,Koramangala,12,high,Rain
14,2026-05-08,Koramangala,13,medium,Clear
15,2026-05-08,Koramangala,14,medium,Clear
16,2026-05-08,Koramangala,15,medium,Clear
17,2026-05-08,Koramangala,16,low,Cloudy
18,2026-05-08,Koramangala,17,high,Rain
19,2026-05-08,Koramangala,18,medium,Clear
20,2026-05-08,Koramangala,19,high,Clear
21,2026-05-08,Koramangala,20,medium,Clear
22,2026-05-08,Koramangala,21,low,Cloudy
23,2026-05-08,Koramangala,22,low,Clear
24,2026-05-08,Koramangala,23,low,Clear
25,2026-05-09,Koramangala,0,low,Clear
26,2026-05-09,Koramangala,1,high,Rain
27,2026-05-09,Koramangala,2,medium,Cloudy
28,2026-05-09,Koramangala,3,low,Cloudy
29,2026-05-09,Koramangala,4,low,Clear
30,2026-05-09,Koramangala,5,low,Clear
31,2026-05-09,Koramangala,6,low,Clear
32,2026-05-09,Koramangala,7,high,Clear
33,2026-05-09,Koramangala,8,low,Clear
34,2026-05-09,Koramangala,9,low,Rain
35,2026-05-09,Koramangala,10,low,Cloudy
36,2026-05-09,Koramangala,11,medium,Clear
37,2026-05-09,Koramangala,12,low,Rain
38,2026-05-09,Koramangala,13,high,Clear
39,2026-05-09,Koramangala,14,medium,Clear
40,2026-05-09,Koramangala,15,low,Clear
41,2026-05-09,Koramangala,16,high,Clear
42,2026-05-09,Koramangala,17,low,Clear
43,2026-05-09,Koramangala,18,medium,Clear
44,2026-05-09,Koramangala,19,high,Clear
45,2026-05-09,Koramangala,20,high,Clear
46,2026-05-09,Koramangala,21,medium,Clear
47,2026-05-09,Koramangala,22,medium,Clear
48,2026-05-09,Koramangala,23,medium,Clear
49,2026-05-10,Koramangala,0,low,Clear
50,2026-05-10,Koramangala,1,low,Clear
51,2026-05-10,Koramangala,2,low,Clear
52,2026-05-10,Koramangala,3,low,Clear
53,2026-05-10,Koramangala,4,medium,Clear
54,2026-05-10,Koramangala,5,low,Rain
55,2026-05-10,Koramangala,6,low,Clear
56,2026-05-10,Koramangala,7,low,Clear
57,2026-05-10,Koramangala,8,high,Rain
58,2026-05-10,Koramangala,9,medium,Cloudy
59,2026-05-10,Koramangala,10,high,Clear
60,2026-05-10,Koramangala,11,high,Clear
61,2026-05-10,Koramangala,12,high,Cloudy
62,2026-05-10,Koramangala,13,medium,Clear
63,2026-05-10,Koramangala,14,low,Clear
64,2026-05-10,Koramangala,15,high,Cloudy
65,2026-05-10,Koramangala,16,low,Clear
66,2026-05-10,Koramangala,17,medium,Clear
67,2026-05-10,Koramangala,18,medium,Clear
68,2026-05-10,Koramangala,19,high,Clear
69,2026-05-10,Koramangala,20,high,Clear
